07/03-12:03:02.121631, 26098, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:07:49.722347, 6229585, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:11:08.183260, 6301135, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:14:17.527610, 6348509, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:14:56.797920, 6361602, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:18:16.202468, 6393248, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:21:25.540070, 6441984, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:22:03.870950, 6451675, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:25:23.214750, 6536113, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:25:25.291388, 6537188, UDP, raw, 86, C2S, 192.168.10.14:60811, 192.168.10.3:53, 301:1:1, allow
07/03-13:25:25.292357, 6537198, UDP, raw, 86, C2S, 192.168.10.14:51767, 192.168.10.3:53, 301:1:1, allow
07/03-13:28:26.769483, 6589461, UDP, raw, 86, C2S, 192.168.10.8:58107, 192.168.10.3:53, 301:1:1, allow
07/03-13:28:26.769941, 6589469, UDP, raw, 86, C2S, 192.168.10.8:51782, 192.168.10.3:53, 301:1:1, allow
07/03-13:28:26.835105, 6589577, UDP, raw, 86, C2S, 192.168.10.8:52922, 192.168.10.3:53, 301:1:1, allow
07/03-13:28:26.835520, 6589581, UDP, raw, 86, C2S, 192.168.10.8:53999, 192.168.10.3:53, 301:1:1, allow
07/03-13:28:33.547031, 6592194, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:28:34.561731, 6592339, UDP, raw, 86, C2S, 192.168.10.8:55395, 192.168.10.3:53, 301:1:1, allow
07/03-13:29:10.935268, 6609615, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:32:20.701214, 6678739, UDP, raw, 86, C2S, 192.168.10.14:53121, 192.168.10.3:53, 301:1:1, allow
07/03-13:32:20.913712, 6678977, UDP, raw, 86, C2S, 192.168.10.14:61484, 192.168.10.3:53, 301:1:1, allow
07/03-13:32:31.219874, 6686709, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:32:36.730857, 6688530, UDP, raw, 86, C2S, 192.168.10.16:5475, 192.168.10.3:53, 301:1:1, allow
07/03-13:32:36.730858, 6688532, UDP, raw, 86, C2S, 192.168.10.16:60281, 192.168.10.3:53, 301:1:1, allow
07/03-13:35:40.556396, 6720990, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:36:17.974807, 6728130, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:39:39.233496, 6751938, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:42:47.559081, 6826822, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:43:25.029459, 6829398, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:46:47.238756, 6870841, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:49:54.564438, 6904378, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:50:32.093553, 6924287, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:53:55.426007, 6977122, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-13:57:02.579314, 7034112, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-13:57:39.120326, 7043375, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-13:59:39.173424, 7072725, UDP, raw, 86, C2S, 192.168.10.9:54757, 192.168.10.3:53, 301:1:1, allow
07/03-13:59:39.173899, 7072729, UDP, raw, 86, C2S, 192.168.10.9:52129, 192.168.10.3:53, 301:1:1, allow
07/03-14:01:03.430785, 7096595, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:04:07.677292, 7151404, UDP, raw, 86, C2S, 192.168.10.14:60630, 192.168.10.3:53, 301:1:1, allow
07/03-14:04:09.597839, 7152818, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:08:11.454984, 7206789, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:11:16.604576, 7270487, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:11:53.201204, 7277669, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:15:19.473091, 7341464, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:18:24.609798, 7401063, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:19:00.266219, 7403038, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:22:08.855260, 7450085, UDP, raw, 86, C2S, 192.168.10.9:64392, 192.168.10.3:53, 301:1:1, allow
07/03-14:22:08.855834, 7450093, UDP, raw, 86, C2S, 192.168.10.9:55820, 192.168.10.3:53, 301:1:1, allow
07/03-14:22:27.490829, 7461587, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:25:31.610762, 7514873, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:26:07.323240, 7541132, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:29:35.495576, 7589317, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:30:42.903276, 7622869, UDP, raw, 86, C2S, 192.168.10.14:62436, 192.168.10.3:53, 301:1:1, allow
07/03-14:30:43.290689, 7622974, UDP, raw, 86, C2S, 192.168.10.14:61984, 192.168.10.3:53, 301:1:1, allow
07/03-14:32:38.645071, 7669597, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:33:14.357784, 7676367, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:36:43.516478, 7738182, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:39:45.147075, 7768986, UDP, raw, 86, C2S, 192.168.10.14:55033, 192.168.10.3:53, 301:1:1, allow
07/03-14:39:45.187171, 7769001, UDP, raw, 86, C2S, 192.168.10.14:60979, 192.168.10.3:53, 301:1:1, allow
07/03-14:39:45.778037, 7769482, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:40:21.373603, 7777529, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:43:10.332792, 7831038, TCP, raw, 60, C2S, 192.168.10.12:46980, 192.168.10.3:3268, 301:1:1, allow
07/03-14:43:10.349224, 7831181, TCP, raw, 60, C2S, 192.168.10.12:44306, 192.168.10.3:88, 301:1:1, allow
07/03-14:43:37.221639, 7839228, TCP, raw, 60, C2S, 192.168.10.12:44308, 192.168.10.3:88, 301:1:1, allow
07/03-14:43:51.524159, 7841745, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:46:53.793239, 7891857, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:47:28.397936, 7905094, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:49:52.419009, 7952569, TCP, raw, 60, C2S, 192.168.10.17:51383, 192.168.10.50:21, 301:1:1, allow
07/03-14:49:52.532631, 7952605, TCP, raw, 60, C2S, 192.168.10.17:45837, 192.168.10.50:38452, 301:1:1, allow
07/03-14:50:59.535355, 7987549, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-14:54:00.804553, 8021389, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-14:54:35.407020, 8027089, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-14:55:37.881423, 8053178, TCP, raw, 60, C2S, 192.168.10.19:57260, 192.168.10.50:21, 301:1:1, allow
07/03-14:55:37.992908, 8053223, TCP, raw, 60, C2S, 192.168.10.19:50617, 192.168.10.50:36602, 301:1:1, allow
07/03-14:58:07.554800, 8102688, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:01:07.806727, 8154029, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:01:42.443198, 8163793, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:03:14.122982, 8192733, TCP, raw, 60, C2S, 192.168.10.19:51085, 192.168.10.50:22, 301:1:1, allow
07/03-15:03:15.459111, 8193049, TCP, raw, 60, C2S, 192.168.10.19:51086, 192.168.10.50:22, 301:1:1, allow
07/03-15:05:15.559686, 8216658, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:08:14.816623, 8249407, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:08:49.510572, 8254952, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:12:23.578559, 8303721, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:15:21.816570, 8332842, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:15:56.545134, 8341353, TCP, raw, 60, C2S, 192.168.10.16:59242, 192.168.10.50:22, 301:1:1, allow
07/03-15:15:56.577941, 8341371, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:15:57.865871, 8341830, TCP, raw, 60, C2S, 192.168.10.16:59244, 192.168.10.50:22, 301:1:1, allow
07/03-15:19:31.590465, 8384960, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:20:34.515299, 8396714, TCP, raw, 60, C2S, 192.168.10.12:38060, 192.168.10.50:22, 301:1:1, allow
07/03-15:20:35.810768, 8396947, TCP, raw, 60, C2S, 192.168.10.12:38062, 192.168.10.50:22, 301:1:1, allow
07/03-15:22:28.816563, 8416563, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:26:39.595130, 8448745, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:29:35.816470, 8474001, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:29:37.099261, 8474601, TCP, raw, 60, C2S, 192.168.10.12:38132, 192.168.10.50:22, 301:1:1, allow
07/03-15:29:38.382084, 8475016, TCP, raw, 60, C2S, 192.168.10.12:38134, 192.168.10.50:22, 301:1:1, allow
07/03-15:30:10.712632, 8488554, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:30:52.503559, 8496860, UDP, raw, 86, C2S, 192.168.10.9:58761, 192.168.10.3:53, 301:1:1, allow
07/03-15:30:52.503959, 8496864, UDP, raw, 86, C2S, 192.168.10.9:51311, 192.168.10.3:53, 301:1:1, allow
07/03-15:33:47.599763, 8541975, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:36:42.815492, 8560074, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:37:17.780033, 8563652, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:40:55.608301, 8592690, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:43:50.816713, 8619718, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:44:24.847400, 8623119, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:48:02.607800, 8640520, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:50:57.816666, 8675708, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:51:31.919131, 8680614, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-15:52:12.243496, 8690175, TCP, raw, 60, C2S, 192.168.10.12:38498, 192.168.10.50:22, 301:1:1, allow
07/03-15:52:13.509637, 8690412, TCP, raw, 60, C2S, 192.168.10.12:38500, 192.168.10.50:22, 301:1:1, allow
07/03-15:54:46.663464, 8714025, UDP, raw, 86, C2S, 192.168.10.14:57879, 192.168.10.3:53, 301:1:1, allow
07/03-15:54:46.664266, 8714038, UDP, raw, 86, C2S, 192.168.10.14:65491, 192.168.10.3:53, 301:1:1, allow
07/03-15:54:55.076632, 8716725, UDP, raw, 86, C2S, 192.168.10.14:49388, 192.168.10.3:53, 301:1:1, allow
07/03-15:54:55.185878, 8716929, UDP, raw, 86, C2S, 192.168.10.14:52253, 192.168.10.3:53, 301:1:1, allow
07/03-15:54:55.186354, 8716933, UDP, raw, 86, C2S, 192.168.10.14:56018, 192.168.10.3:53, 301:1:1, allow
07/03-15:55:01.093267, 8720856, UDP, raw, 86, C2S, 192.168.10.14:51740, 192.168.10.3:53, 301:1:1, allow
07/03-15:55:01.097112, 8720864, UDP, raw, 86, C2S, 192.168.10.14:63278, 192.168.10.3:53, 301:1:1, allow
07/03-15:55:10.618348, 8724377, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-15:58:04.833296, 8750928, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-15:58:38.988362, 8754899, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:02:18.638617, 8780204, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:03:45.073483, 8801547, UDP, raw, 86, C2S, 192.168.10.14:57576, 192.168.10.3:53, 301:1:1, allow
07/03-16:03:45.073952, 8801551, UDP, raw, 86, C2S, 192.168.10.14:53105, 192.168.10.3:53, 301:1:1, allow
07/03-16:05:11.830959, 8813586, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:05:46.055647, 8817888, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:09:26.642275, 8856885, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:12:18.845510, 8873582, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:12:53.125083, 8878957, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:16:34.647209, 8919896, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:19:25.860662, 8942102, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:20:00.192251, 8944092, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:21:17.184674, 8950093, UDP, raw, 86, C2S, 192.168.10.8:61926, 192.168.10.3:53, 301:1:1, allow
07/03-16:21:17.185056, 8950097, UDP, raw, 86, C2S, 192.168.10.8:63094, 192.168.10.3:53, 301:1:1, allow
07/03-16:23:42.656960, 8963602, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:24:40.304842, 8969913, TCP, raw, 60, C2S, 192.168.10.19:58137, 192.168.10.50:21, 301:1:1, allow
07/03-16:24:40.419175, 8969957, TCP, raw, 60, C2S, 192.168.10.19:46071, 192.168.10.50:27308, 301:1:1, allow
07/03-16:26:32.885248, 8993851, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:27:07.263516, 9010495, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:30:50.680618, 9044029, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:32:49.867566, 9071273, TCP, raw, 60, C2S, 192.168.10.12:39304, 192.168.10.50:22, 301:1:1, allow
07/03-16:32:51.131314, 9071430, TCP, raw, 60, C2S, 192.168.10.12:39306, 192.168.10.50:22, 301:1:1, allow
07/03-16:33:39.915422, 9076529, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:34:14.330852, 9078582, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:37:58.686116, 9132370, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:39:02.809003, 9151881, UDP, raw, 86, C2S, 192.168.10.8:57462, 192.168.10.3:53, 301:1:1, allow
07/03-16:39:02.809410, 9151885, UDP, raw, 86, C2S, 192.168.10.8:57977, 192.168.10.3:53, 301:1:1, allow
07/03-16:40:47.926961, 9176584, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:41:21.388991, 9187720, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:45:06.697792, 9213723, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:47:54.932135, 9244837, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:48:28.394913, 9247165, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:52:14.713598, 9352565, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-16:54:18.539133, 9394664, TCP, raw, 60, C2S, 192.168.10.17:34802, 192.168.10.50:22, 301:1:1, allow
07/03-16:54:19.814105, 9395602, TCP, raw, 60, C2S, 192.168.10.17:34815, 192.168.10.50:22, 301:1:1, allow
07/03-16:55:01.932141, 9410041, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-16:55:35.419306, 9415868, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-16:59:22.718881, 9450464, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:01:38.254653, 9471016, UDP, raw, 86, C2S, 192.168.10.14:58180, 192.168.10.3:53, 301:1:1, allow
07/03-17:01:38.255174, 9471021, UDP, raw, 86, C2S, 192.168.10.14:52836, 192.168.10.3:53, 301:1:1, allow
07/03-17:02:08.937869, 9479389, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:02:42.429933, 9486057, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:06:30.744151, 9524590, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:09:16.953602, 9550403, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:09:49.494009, 9559786, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:13:38.761123, 9623642, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:16:23.997231, 9650360, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
