07/07-12:02:14.831049, 10335, TCP, raw, 455, C2S, 192.168.10.50:56108, 192.168.10.3:3268, 306:1:0, allow
07/07-12:46:12.848983, 3614483, TCP, raw, 1500, S2C, 74.201.0.10:80, 192.168.10.12:36746, 301:2:1, allow
07/07-12:46:12.851703, 3614509, TCP, raw, 1500, S2C, 74.201.0.10:80, 192.168.10.12:36748, 301:2:1, allow
07/07-12:54:27.569561, 3703331, TCP, raw, 456, C2S, 192.168.10.19:60748, 23.210.202.11:443, 301:1:1, allow
07/07-12:54:29.851044, 3704126, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.19:60193, 301:1:1, allow
07/07-12:54:29.946719, 3704311, TCP, raw, 52, C2S, 192.168.10.19:35697, 52.84.136.247:80, 301:1:1, allow
07/07-12:54:29.948743, 3704335, TCP, raw, 52, C2S, 192.168.10.19:35696, 52.84.136.247:80, 301:1:1, allow
07/07-12:54:29.949930, 3704354, TCP, raw, 1500, S2C, 52.84.136.247:80, 192.168.10.19:35695, 301:1:1, allow
07/07-12:54:29.951427, 3704378, TCP, raw, 1500, S2C, 52.84.136.247:80, 192.168.10.19:35694, 301:1:1, allow
07/07-12:54:30.006590, 3704532, TCP, raw, 1500, S2C, 209.48.71.138:80, 192.168.10.19:53715, 301:1:1, allow
07/07-12:54:30.605568, 3705056, TCP, raw, 1500, S2C, 52.84.145.218:80, 192.168.10.19:39132, 301:1:1, allow
07/07-12:55:25.450129, 3714634, TCP, raw, 166, C2S, 192.168.10.15:51136, 52.84.26.205:443, 301:1:1, allow
07/07-12:57:44.871465, 3741012, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50666, 301:1:1, allow
07/07-12:57:44.902312, 3741051, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50678, 301:1:1, allow
07/07-12:57:44.936239, 3741100, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50674, 301:1:1, allow
07/07-12:57:45.067404, 3741123, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50668, 301:1:1, allow
07/07-12:57:45.144869, 3741239, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50694, 301:1:1, allow
07/07-12:57:45.147157, 3741267, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50692, 301:1:1, allow
07/07-12:57:45.148393, 3741285, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50688, 301:1:1, allow
07/07-12:57:45.150898, 3741317, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50686, 301:1:1, allow
07/07-12:57:45.151633, 3741327, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50684, 301:1:1, allow
07/07-12:57:45.183256, 3741387, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.16:50696, 301:1:1, allow
07/07-12:57:45.261902, 3741470, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38362, 301:1:1, allow
07/07-12:57:45.263427, 3741482, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38360, 301:1:1, allow
07/07-12:57:45.343760, 3741558, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38372, 301:1:1, allow
07/07-12:57:45.345013, 3741570, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38364, 301:1:1, allow
07/07-12:57:45.402359, 3741637, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38376, 301:1:1, allow
07/07-12:57:45.406113, 3741661, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38382, 301:1:1, allow
07/07-12:57:45.433852, 3741686, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38384, 301:1:1, allow
07/07-12:57:46.007024, 3742581, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38398, 301:1:1, allow
07/07-12:57:46.036484, 3742675, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.16:38404, 301:1:1, allow
07/07-12:57:49.732208, 3746770, TCP, raw, 1500, S2C, 52.84.145.221:80, 192.168.10.16:36578, 301:1:1, allow
07/07-12:57:49.804532, 3746859, TCP, raw, 1500, S2C, 23.193.26.191:80, 192.168.10.16:35824, 301:1:1, allow
07/07-12:57:49.924289, 3746930, TCP, raw, 1500, S2C, 104.88.14.9:80, 192.168.10.16:54302, 301:1:1, allow
07/07-12:59:00.799103, 3770370, TCP, raw, 60, C2S, 192.168.10.51:35529, 91.189.89.144:80, 302:1:0, allow
07/07-13:00:56.754612, 3792060, TCP, raw, 166, C2S, 192.168.10.15:51594, 13.58.195.13:443, 301:1:1, allow
07/07-13:01:17.497692, 3804282, TCP, raw, 52, C2S, 192.168.10.25:50088, 148.251.96.220:80, 301:1:1, allow
07/07-13:01:18.497855, 3804805, TCP, raw, 52, S2C, 148.251.96.220:80, 192.168.10.25:50086, 301:1:1, allow
07/07-13:01:19.968415, 3805524, TCP, raw, 52, S2C, 185.147.176.24:80, 192.168.10.25:50076, 301:1:1, allow
07/07-13:01:21.457737, 3806511, TCP, raw, 52, C2S, 192.168.10.25:50079, 185.147.176.24:80, 301:1:1, allow
07/07-13:06:23.460306, 3964125, TCP, raw, 40, S2C, 200.147.68.17:80, 192.168.10.15:51919, 301:1:1, allow
07/07-13:07:09.833937, 3977147, TCP, raw, 52, S2C, 185.147.176.24:80, 192.168.10.25:50171, 301:1:1, allow
07/07-13:08:09.255358, 4003024, TCP, raw, 236, C2S, 192.168.10.19:52313, 23.21.128.187:443, 301:1:1, allow
07/07-13:09:48.294728, 4028321, TCP, raw, 1500, S2C, 192.99.204.25:80, 192.168.10.25:50250, 301:1:1, allow
07/07-13:09:49.641881, 4029001, TCP, raw, 1500, S2C, 192.99.204.25:80, 192.168.10.25:50264, 301:1:1, allow
07/07-13:09:57.948017, 4030919, TCP, raw, 52, C2S, 192.168.10.25:50288, 151.101.192.233:80, 301:1:1, allow
07/07-13:10:03.454063, 4031719, TCP, raw, 1500, S2C, 192.99.204.26:80, 192.168.10.25:50291, 301:1:1, allow
07/07-13:10:40.497372, 4077413, TCP, raw, 52, S2C, 172.217.11.4:80, 192.168.10.25:50224, 301:1:1, allow
07/07-13:12:05.253670, 4118067, TCP, raw, 52, C2S, 192.168.10.5:51610, 205.185.216.42:443, 306:1:0, allow
07/07-13:14:09.787728, 4150339, TCP, raw, 52, C2S, 192.168.10.25:50402, 192.99.204.25:80, 301:1:1, allow
07/07-13:14:41.100693, 4155533, TCP, raw, 52, C2S, 192.168.10.25:50426, 192.99.204.26:80, 301:1:1, allow
07/07-13:17:14.123453, 4230256, TCP, raw, 1500, S2C, 192.99.204.26:80, 192.168.10.25:50460, 301:1:1, allow
07/07-13:18:02.503263, 4273772, TCP, raw, 40, C2S, 192.168.10.12:50424, 104.23.130.81:80, 301:1:1, allow
07/07-13:18:21.343434, 4279802, TCP, raw, 1500, S2C, 192.99.204.26:80, 192.168.10.25:50494, 301:1:1, allow
07/07-13:20:29.896726, 4345411, TCP, raw, 298, S2C, 151.101.128.133:443, 192.168.10.14:51512, 301:1:1, allow
07/07-13:20:29.941595, 4345496, TCP, raw, 298, S2C, 151.101.128.133:443, 192.168.10.14:51516, 301:1:1, allow
07/07-13:21:25.876224, 4353170, TCP, raw, 1500, S2C, 23.217.50.210:80, 192.168.10.12:55890, 301:1:1, allow
07/07-13:21:26.658258, 4353598, TCP, raw, 1500, S2C, 54.152.199.230:80, 192.168.10.12:44644, 301:1:1, allow
07/07-13:21:26.962825, 4353854, TCP, raw, 1500, S2C, 23.15.4.17:80, 192.168.10.19:60534, 301:1:1, allow
07/07-13:21:27.079847, 4354003, TCP, raw, 1500, S2C, 108.168.172.162:80, 192.168.10.12:59342, 301:1:1, allow
07/07-13:21:27.138682, 4354263, TCP, raw, 1500, S2C, 23.15.4.16:80, 192.168.10.19:59152, 301:1:1, allow
07/07-13:21:27.223999, 4354467, TCP, raw, 1500, S2C, 23.208.79.127:80, 192.168.10.19:60072, 301:1:1, allow
07/07-13:21:27.234062, 4354494, TCP, raw, 1500, S2C, 23.208.79.127:80, 192.168.10.19:60070, 301:1:1, allow
07/07-13:21:27.236078, 4354514, TCP, raw, 1500, S2C, 23.208.79.127:80, 192.168.10.19:60071, 301:1:1, allow
07/07-13:21:27.443682, 4354854, TCP, raw, 1500, S2C, 151.101.0.175:80, 192.168.10.12:53892, 301:2:1, allow
07/07-13:21:27.717052, 4355034, TCP, raw, 1500, S2C, 151.101.2.2:80, 192.168.10.12:51954, 301:1:1, allow
07/07-13:21:28.280339, 4355524, TCP, raw, 1500, S2C, 23.15.4.11:80, 192.168.10.19:52723, 301:2:1, allow
07/07-13:21:28.559633, 4356298, TCP, raw, 1500, S2C, 23.208.162.98:80, 192.168.10.12:47862, 301:2:1, allow
07/07-13:21:33.006721, 4362349, TCP, raw, 52, C2S, 192.168.10.12:55602, 23.15.4.8:80, 301:2:1, allow
07/07-13:21:34.810759, 4364819, TCP, raw, 1500, S2C, 151.101.194.2:80, 192.168.10.19:47586, 301:1:1, allow
07/07-13:21:35.410315, 4365513, TCP, raw, 1500, S2C, 151.101.1.181:80, 192.168.10.19:39194, 301:2:1, allow
07/07-13:21:38.410966, 4370235, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.12:34492, 301:2:1, allow
07/07-13:21:41.027639, 4373117, TCP, raw, 1500, S2C, 23.45.196.15:80, 192.168.10.19:56562, 301:2:1, allow
07/07-13:21:47.679438, 4375832, TCP, raw, 1500, S2C, 151.101.65.34:80, 192.168.10.17:44416, 301:1:1, allow
07/07-13:21:47.950078, 4376226, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.17:40595, 301:1:1, allow
07/07-13:21:47.971405, 4376287, TCP, raw, 1500, S2C, 52.84.8.26:80, 192.168.10.17:37596, 301:1:1, allow
07/07-13:21:48.709630, 4376786, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.17:40608, 301:1:1, allow
07/07-13:21:48.711166, 4376808, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.17:40609, 301:1:1, allow
07/07-13:21:48.879837, 4377405, TCP, raw, 1500, S2C, 151.101.65.34:80, 192.168.10.17:44442, 301:1:1, allow
07/07-13:21:49.799064, 4377754, TCP, raw, 1500, S2C, 151.101.44.129:80, 192.168.10.17:58783, 301:1:1, allow
07/07-13:21:53.737425, 4381537, TCP, raw, 52, C2S, 192.168.10.25:50613, 174.36.40.42:80, 301:1:1, allow
07/07-13:21:53.865577, 4381703, TCP, raw, 52, C2S, 192.168.10.17:36854, 52.84.145.244:80, 301:2:1, allow
07/07-13:21:54.070958, 4381866, TCP, raw, 52, C2S, 192.168.10.25:50617, 208.94.233.125:80, 301:1:1, allow
07/07-13:21:54.072952, 4381882, TCP, raw, 52, C2S, 192.168.10.25:50616, 208.94.233.125:80, 301:1:1, allow
07/07-13:21:54.074983, 4381906, TCP, raw, 52, C2S, 192.168.10.25:50618, 208.94.233.125:80, 301:1:1, allow
07/07-13:21:56.581688, 4383895, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.17:59623, 301:2:1, allow
07/07-13:24:06.685614, 4449344, TCP, raw, 1500, S2C, 23.192.74.133:80, 192.168.10.8:2644, 301:1:1, allow
07/07-13:24:49.389847, 4460529, TCP, raw, 52, C2S, 192.168.10.19:47053, 23.208.149.31:80, 301:1:1, allow
07/07-13:24:54.038150, 4462442, TCP, raw, 52, C2S, 192.168.10.25:50937, 23.4.43.27:80, 301:1:1, allow
07/07-13:25:25.502094, 4467680, TCP, raw, 52, C2S, 192.168.10.25:50935, 23.4.43.27:80, 301:1:1, allow
07/07-13:25:42.935338, 4471817, TCP, raw, 1500, S2C, 151.101.116.249:80, 192.168.10.19:44558, 301:1:1, allow
07/07-13:26:43.758274, 4494726, TCP, raw, 52, C2S, 192.168.10.25:51008, 23.50.75.27:80, 301:1:1, allow
07/07-13:26:46.160065, 4496583, TCP, raw, 52, C2S, 192.168.10.9:2603, 169.55.70.244:80, 306:1:0, allow
07/07-13:27:05.072808, 4504302, TCP, raw, 52, C2S, 192.168.10.25:51007, 23.50.75.27:80, 301:1:1, allow
07/07-13:28:49.281609, 4543540, TCP, raw, 40, C2S, 192.168.10.9:2783, 104.17.56.121:80, 301:1:1, allow
07/07-13:28:53.276770, 4553261, TCP, raw, 1500, S2C, 23.15.4.10:80, 192.168.10.9:2895, 301:1:1, allow
07/07-13:29:43.750630, 4592439, TCP, raw, 52, C2S, 192.168.10.15:52322, 205.174.165.73:8080, 306:1:0, allow
07/07-13:29:48.633640, 4593526, TCP, raw, 200, C2S, 192.168.10.51:58821, 162.213.33.50:443, 301:1:1, allow
07/07-13:30:06.029489, 4599367, TCP, raw, 40, C2S, 192.168.10.9:3204, 52.55.254.36:80, 301:1:1, allow
07/07-13:34:59.610475, 4676761, TCP, raw, 52, S2C, 23.199.203.113:443, 192.168.10.19:39308, 301:1:1, allow
07/07-13:36:35.444069, 4701200, TCP, raw, 40, S2C, 52.22.232.2:80, 192.168.10.9:3648, 301:1:1, allow
07/07-13:37:05.086919, 4704312, TCP, raw, 52, C2S, 192.168.10.14:51699, 205.174.165.73:8080, 306:1:0, allow
07/07-13:50:20.174180, 4809673, TCP, raw, 52, S2C, 184.29.161.49:80, 192.168.10.25:51125, 301:1:1, allow
07/07-13:50:55.583045, 4811988, TCP, raw, 200, C2S, 192.168.10.51:58862, 162.213.33.50:443, 301:1:1, allow
07/07-13:52:07.519060, 4830274, TCP, raw, 166, C2S, 192.168.10.9:4472, 52.84.26.205:443, 301:1:1, allow
07/07-14:00:33.138568, 4915422, TCP, raw, 40, S2C, 169.55.165.141:80, 192.168.10.9:4968, 301:1:1, allow
07/07-14:00:58.827353, 4916704, TCP, raw, 52, C2S, 192.168.10.15:53105, 23.15.4.8:443, 306:1:0, allow
07/07-14:01:55.963058, 4925951, TCP, raw, 52, S2C, 185.36.171.181:80, 192.168.10.25:51176, 301:1:1, allow
07/07-14:01:56.991001, 4927691, TCP, raw, 52, C2S, 192.168.10.25:51202, 194.213.222.29:80, 301:1:1, allow
07/07-14:01:58.064377, 4928680, TCP, raw, 52, C2S, 192.168.10.25:51214, 216.200.233.95:80, 301:1:1, allow
07/07-14:01:58.842264, 4930048, TCP, raw, 52, C2S, 192.168.10.25:51220, 194.213.62.34:80, 301:1:1, allow
07/07-14:05:41.795483, 4968467, TCP, raw, 200, C2S, 192.168.10.51:58890, 162.213.33.50:443, 301:1:1, allow
07/07-14:07:45.693332, 5009810, TCP, raw, 45, S2C, 52.201.88.235:80, 192.168.10.15:53128, 306:1:0, allow
07/07-14:10:41.302673, 5026849, TCP, raw, 1500, S2C, 23.208.158.158:80, 192.168.10.12:53256, 301:1:1, allow
07/07-14:10:41.748240, 5027919, TCP, raw, 1500, S2C, 104.118.223.68:80, 192.168.10.12:48502, 301:1:1, allow
07/07-14:10:42.655991, 5028919, TCP, raw, 1500, S2C, 52.90.248.81:80, 192.168.10.12:48158, 301:1:1, allow
07/07-14:10:42.928607, 5029128, TCP, raw, 1500, S2C, 151.101.116.175:80, 192.168.10.12:33662, 301:1:1, allow
07/07-14:10:44.502836, 5030825, TCP, raw, 1500, S2C, 52.84.26.67:80, 192.168.10.12:51348, 301:1:1, allow
07/07-14:12:48.869313, 5045378, TCP, raw, 1102, S2C, 204.154.111.105:443, 192.168.10.8:3404, 306:1:0, allow
07/07-14:17:15.098879, 5082640, TCP, raw, 1500, S2C, 23.217.50.210:80, 192.168.10.17:50891, 301:1:1, allow
07/07-14:17:15.251243, 5082964, TCP, raw, 1500, S2C, 23.217.50.210:80, 192.168.10.17:50895, 301:1:1, allow
07/07-14:17:16.399099, 5084592, TCP, raw, 1500, S2C, 54.163.75.137:80, 192.168.10.17:47479, 301:1:1, allow
07/07-14:17:16.963740, 5085014, TCP, raw, 1500, S2C, 151.101.0.175:80, 192.168.10.17:45515, 301:1:1, allow
07/07-14:17:17.157905, 5085576, TCP, raw, 1500, S2C, 52.84.7.195:80, 192.168.10.17:58835, 301:1:1, allow
07/07-14:17:17.159819, 5085602, TCP, raw, 1500, S2C, 52.84.7.195:80, 192.168.10.17:58839, 301:1:1, allow
07/07-14:17:17.206908, 5085707, TCP, raw, 1500, S2C, 52.84.7.157:80, 192.168.10.17:35647, 301:1:1, allow
07/07-14:17:17.315321, 5085941, TCP, raw, 1500, S2C, 108.168.172.162:80, 192.168.10.17:59192, 301:1:1, allow
07/07-14:17:17.395896, 5086107, TCP, raw, 1500, S2C, 151.101.1.181:80, 192.168.10.17:51218, 301:1:1, allow
07/07-14:17:18.553674, 5087817, TCP, raw, 1500, S2C, 52.84.145.117:80, 192.168.10.17:46281, 301:1:1, allow
07/07-14:17:18.559458, 5087928, TCP, raw, 1500, S2C, 52.84.145.117:80, 192.168.10.17:46277, 301:1:1, allow
07/07-14:17:23.680522, 5092572, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.17:60648, 301:1:1, allow
07/07-14:17:23.839994, 5092852, TCP, raw, 1500, S2C, 23.15.4.9:80, 192.168.10.17:52287, 301:1:1, allow
07/07-14:17:28.002794, 5094944, TCP, raw, 1500, S2C, 184.29.128.170:80, 192.168.10.12:40692, 301:1:1, allow
07/07-14:17:28.207962, 5095566, TCP, raw, 40, C2S, 192.168.10.5:50513, 185.13.208.24:80, 301:1:1, allow
07/07-14:17:28.516020, 5095973, TCP, raw, 1500, S2C, 208.111.178.163:80, 192.168.10.12:51216, 301:2:1, allow
07/07-14:17:28.888430, 5096259, TCP, raw, 1500, S2C, 195.248.250.150:80, 192.168.10.12:56862, 301:2:1, allow
07/07-14:17:28.888495, 5096262, TCP, raw, 52, C2S, 192.168.10.12:56860, 195.248.250.150:80, 301:2:1, allow
07/07-14:17:28.893934, 5096336, TCP, raw, 1500, S2C, 195.248.250.150:80, 192.168.10.12:56864, 301:2:1, allow
07/07-14:17:30.208419, 5098223, TCP, raw, 1500, S2C, 52.84.141.29:80, 192.168.10.12:35864, 301:2:1, allow
07/07-14:17:30.915968, 5098401, TCP, raw, 1500, S2C, 23.61.187.27:80, 192.168.10.5:50327, 301:1:1, allow
07/07-14:17:33.856543, 5100557, TCP, raw, 1500, S2C, 89.163.159.107:80, 192.168.10.12:54504, 301:2:1, allow
07/07-14:20:37.391713, 5140901, TCP, raw, 1500, S2C, 52.84.40.88:80, 192.168.10.17:33203, 301:1:1, allow
07/07-14:20:37.392460, 5140908, TCP, raw, 1500, S2C, 52.84.40.88:80, 192.168.10.17:33202, 301:1:1, allow
07/07-14:20:37.466775, 5141090, TCP, raw, 1500, S2C, 52.84.40.30:80, 192.168.10.17:50548, 301:1:1, allow
07/07-14:20:39.166771, 5143903, TCP, raw, 1500, S2C, 52.84.26.35:80, 192.168.10.17:41235, 301:1:1, allow
07/07-14:20:39.405173, 5144463, TCP, raw, 1500, S2C, 52.84.40.137:80, 192.168.10.17:33714, 301:1:1, allow
07/07-14:20:39.412159, 5144496, TCP, raw, 1500, S2C, 52.84.40.137:80, 192.168.10.17:33715, 301:1:1, allow
07/07-14:20:39.433351, 5144537, TCP, raw, 1500, S2C, 52.84.40.58:80, 192.168.10.17:39423, 301:1:1, allow
07/07-14:20:39.464279, 5144561, TCP, raw, 1500, S2C, 52.84.26.155:80, 192.168.10.17:48241, 301:1:1, allow
07/07-14:20:44.283981, 5146325, TCP, raw, 1500, S2C, 23.194.141.249:80, 192.168.10.12:54314, 301:1:1, allow
07/07-14:23:17.205354, 5178948, TCP, raw, 52, C2S, 192.168.10.5:50563, 5.39.7.87:80, 306:1:0, allow
07/07-14:23:30.111527, 5179511, TCP, raw, 48, C2S, 192.168.10.8:3610, 205.174.165.73:8080, 306:1:0, allow
07/07-14:23:33.012004, 5179960, TCP, raw, 1500, S2C, 104.118.221.209:80, 192.168.10.12:59038, 301:1:1, allow
07/07-14:23:33.138828, 5180169, TCP, raw, 52, C2S, 192.168.10.12:59048, 104.118.221.209:80, 301:1:1, allow
07/07-14:23:35.838868, 5182047, TCP, raw, 1500, S2C, 52.84.37.68:80, 192.168.10.12:56762, 301:1:1, allow
07/07-14:24:11.032850, 5190695, TCP, raw, 1500, S2C, 52.84.40.137:80, 192.168.10.17:33894, 301:1:1, allow
07/07-14:29:31.921423, 5272108, TCP, raw, 166, C2S, 192.168.10.14:52381, 52.84.145.34:443, 301:2:1, allow
07/07-14:29:31.935473, 5272111, TCP, raw, 166, C2S, 192.168.10.14:52378, 52.84.145.34:443, 301:2:1, allow
07/07-14:29:35.463434, 5272462, TCP, raw, 1500, S2C, 23.199.203.113:443, 192.168.10.14:52342, 301:2:1, allow
07/07-14:29:37.903723, 5272634, TCP, raw, 557, C2S, 192.168.10.14:52377, 23.199.203.113:443, 301:2:1, allow
07/07-14:29:39.642619, 5273949, TCP, raw, 52, C2S, 192.168.10.12:58172, 195.248.250.150:80, 301:1:1, allow
07/07-14:29:41.905911, 5275036, TCP, raw, 1500, S2C, 52.84.141.29:80, 192.168.10.12:37206, 301:1:1, allow
07/07-14:29:44.097056, 5276230, TCP, raw, 40, S2C, 23.199.203.113:443, 192.168.10.14:52383, 301:1:1, allow
07/07-14:30:47.104740, 5285788, TCP, raw, 1500, S2C, 104.88.102.228:80, 192.168.10.12:45756, 301:1:1, allow
07/07-14:30:49.804020, 5287966, TCP, raw, 1500, S2C, 151.101.2.2:80, 192.168.10.12:55914, 301:1:1, allow
07/07-14:30:55.391828, 5290584, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.12:38124, 301:1:1, allow
07/07-14:31:01.364728, 5292835, TCP, raw, 52, C2S, 192.168.10.12:50494, 193.243.130.87:80, 301:1:1, allow
07/07-14:31:01.428738, 5292958, TCP, raw, 1500, S2C, 151.101.0.222:80, 192.168.10.12:36458, 301:1:1, allow
07/07-14:31:01.687689, 5293382, TCP, raw, 1500, S2C, 208.111.171.162:80, 192.168.10.12:49882, 301:1:1, allow
07/07-14:31:01.694292, 5293407, TCP, raw, 1500, S2C, 208.111.171.162:80, 192.168.10.12:49874, 301:1:1, allow
07/07-14:34:28.362681, 5320512, TCP, raw, 52, S2C, 23.54.187.27:80, 192.168.10.25:51907, 301:1:1, allow
07/07-14:34:28.479950, 5320531, TCP, raw, 52, S2C, 23.54.187.27:80, 192.168.10.25:51908, 301:1:1, allow
07/07-14:35:01.518132, 5332141, TCP, raw, 52, C2S, 192.168.10.12:34830, 195.209.111.4:443, 301:1:1, allow
07/07-14:35:08.366845, 5334197, TCP, raw, 243, C2S, 192.168.10.12:34822, 195.209.111.4:443, 301:1:1, allow
07/07-14:35:14.958844, 5335856, TCP, raw, 569, C2S, 192.168.10.12:35028, 195.209.111.4:443, 301:1:1, allow
07/07-14:35:38.199936, 5336679, TCP, raw, 52, C2S, 192.168.10.15:53621, 205.174.165.73:8080, 306:1:0, allow
07/07-14:38:06.553055, 5360524, TCP, raw, 233, C2S, 192.168.10.19:60658, 195.209.111.4:443, 301:2:1, allow
07/07-14:38:10.181066, 5360946, TCP, raw, 569, C2S, 192.168.10.19:33960, 195.209.111.7:443, 301:2:1, allow
07/07-14:38:12.280785, 5361139, TCP, raw, 52, S2C, 195.209.111.7:443, 192.168.10.19:33970, 301:2:1, allow
