07/03-12:06:51.613437, 63092, TCP, raw, 1500, S2C, 23.208.104.19:80, 192.168.10.16:36602, 301:1:1, allow
07/03-12:45:39.905121, 5341658, TCP, raw, 40, C2S, 192.168.10.9:62693, 104.17.54.121:80, 301:1:1, allow
07/03-12:49:10.811967, 5508893, TCP, raw, 40, S2C, 52.206.210.166:80, 192.168.10.9:63754, 301:1:1, allow
07/03-12:53:06.285788, 5952219, TCP, raw, 52, C2S, 192.168.10.25:49871, 23.194.111.4:80, 301:1:1, allow
07/03-12:53:08.041114, 5953193, TCP, raw, 52, C2S, 192.168.10.25:49899, 151.101.2.2:80, 301:1:1, allow
07/03-12:53:15.021846, 5957094, TCP, raw, 52, C2S, 192.168.10.25:50026, 23.99.206.151:80, 301:1:1, allow
07/03-12:58:05.241113, 6026972, TCP, raw, 166, C2S, 192.168.10.5:52250, 23.111.9.30:443, 301:1:1, allow
07/03-13:01:13.944815, 6096411, TCP, raw, 52, S2C, 169.55.70.227:80, 192.168.10.19:53314, 301:1:1, allow
07/03-13:03:01.916575, 6145336, TCP, raw, 52, C2S, 192.168.10.25:50234, 68.67.178.197:80, 301:1:1, allow
07/03-13:03:02.512714, 6146405, TCP, raw, 93, C2S, 192.168.10.25:50252, 50.116.194.23:443, 301:1:1, allow
07/03-13:06:14.188507, 6203666, TCP, raw, 1500, S2C, 151.101.65.34:80, 192.168.10.19:45120, 301:1:1, allow
07/03-13:06:14.701577, 6204082, TCP, raw, 1500, S2C, 151.101.1.198:80, 192.168.10.19:49966, 301:1:1, allow
07/03-13:06:14.725273, 6204212, TCP, raw, 1500, S2C, 52.84.59.94:80, 192.168.10.19:48464, 301:1:1, allow
07/03-13:06:14.728967, 6204246, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.19:52705, 301:1:1, allow
07/03-13:06:14.731295, 6204284, TCP, raw, 52, C2S, 192.168.10.19:47696, 151.101.129.34:80, 301:1:1, allow
07/03-13:06:16.164118, 6205276, TCP, raw, 1500, S2C, 151.101.44.129:80, 192.168.10.19:55827, 301:1:1, allow
07/03-13:06:16.200320, 6205370, TCP, raw, 40, S2C, 72.5.205.53:80, 192.168.10.19:54378, 301:1:1, allow
07/03-13:06:16.563680, 6206226, TCP, raw, 1500, S2C, 52.84.26.92:80, 192.168.10.19:35405, 301:1:1, allow
07/03-13:06:16.639805, 6206412, TCP, raw, 1500, S2C, 151.101.1.181:80, 192.168.10.19:42246, 301:1:1, allow
07/03-13:06:19.577727, 6209091, TCP, raw, 1500, S2C, 104.97.73.184:80, 192.168.10.19:47229, 301:1:1, allow
07/03-13:06:19.746287, 6209196, TCP, raw, 1500, S2C, 69.172.216.55:80, 192.168.10.19:56097, 301:1:1, allow
07/03-13:06:21.479654, 6210830, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.19:40011, 301:2:1, allow
07/03-13:06:27.491602, 6212878, TCP, raw, 1500, S2C, 151.101.1.132:80, 192.168.10.12:40290, 301:1:1, allow
07/03-13:06:27.681251, 6213067, TCP, raw, 1500, S2C, 151.101.0.188:80, 192.168.10.12:55874, 301:1:1, allow
07/03-13:06:27.698962, 6213109, TCP, raw, 1500, S2C, 151.101.65.198:80, 192.168.10.12:59902, 301:1:1, allow
07/03-13:06:27.716072, 6213176, TCP, raw, 52, C2S, 192.168.10.12:55880, 151.101.0.188:80, 301:1:1, allow
07/03-13:06:30.014180, 6217598, TCP, raw, 1500, S2C, 50.19.60.226:80, 192.168.10.12:38024, 301:1:1, allow
07/03-13:09:43.662622, 6272895, TCP, raw, 245, C2S, 192.168.10.16:52410, 185.49.84.172:443, 301:1:1, allow
07/03-13:10:21.628076, 6283517, TCP, raw, 40, S2C, 104.16.25.216:80, 192.168.10.25:50764, 301:1:1, allow
07/03-13:10:29.371304, 6289958, TCP, raw, 232, C2S, 192.168.10.51:37082, 162.213.33.44:443, 301:1:1, allow
07/03-13:12:07.638819, 6318211, TCP, raw, 52, C2S, 192.168.10.25:50972, 151.101.22.2:80, 301:1:1, allow
07/03-13:20:52.097931, 6437855, TCP, raw, 200, C2S, 192.168.10.51:37204, 162.213.33.44:443, 301:1:1, allow
07/03-13:21:24.963964, 6441491, TCP, raw, 1500, S2C, 78.109.86.10:80, 192.168.10.51:47992, 301:1:1, allow
07/03-13:21:24.987801, 6441557, TCP, raw, 1500, S2C, 163.172.15.176:80, 192.168.10.51:41629, 301:1:1, allow
07/03-13:21:24.988543, 6441571, TCP, raw, 1500, S2C, 163.172.15.176:80, 192.168.10.51:41634, 301:1:1, allow
07/03-13:21:25.467975, 6441881, TCP, raw, 1500, S2C, 78.109.86.10:80, 192.168.10.51:48008, 301:1:1, allow
07/03-13:22:07.838678, 6452594, TCP, raw, 52, C2S, 192.168.10.25:51420, 23.194.141.249:80, 301:1:1, allow
07/03-13:27:36.976289, 6561692, TCP, raw, 1500, S2C, 5.196.44.172:80, 192.168.10.16:46228, 301:1:1, allow
07/03-13:29:07.321679, 6608991, TCP, raw, 200, C2S, 192.168.10.51:37758, 162.213.33.44:443, 301:1:1, allow
07/03-13:29:54.546738, 6619326, TCP, raw, 40, C2S, 192.168.10.5:54865, 192.229.173.72:443, 301:1:1, allow
07/03-13:31:28.844838, 6635681, TCP, raw, 40, C2S, 192.168.10.51:42206, 163.172.15.176:80, 301:1:1, allow
07/03-13:31:29.158834, 6635823, TCP, raw, 1500, S2C, 158.69.124.230:80, 192.168.10.51:50822, 301:1:1, allow
07/03-13:31:40.661771, 6645212, TCP, raw, 1500, S2C, 54.230.38.191:80, 192.168.10.51:59377, 301:1:1, allow
07/03-13:32:10.673982, 6658340, TCP, raw, 52, C2S, 192.168.10.25:52006, 23.194.182.2:80, 301:1:1, allow
07/03-13:32:12.528680, 6664098, TCP, raw, 1500, S2C, 151.101.66.2:80, 192.168.10.25:52038, 301:1:1, allow
07/03-13:32:13.391502, 6665907, TCP, raw, 52, C2S, 192.168.10.25:52064, 52.84.143.116:80, 301:1:1, allow
07/03-13:32:16.895973, 6673841, TCP, raw, 40, C2S, 192.168.10.25:52133, 192.82.243.71:80, 301:1:1, allow
07/03-13:35:02.532584, 6713213, TCP, raw, 1500, S2C, 54.221.192.241:80, 192.168.10.19:57411, 301:1:1, allow
07/03-13:35:03.196403, 6714126, TCP, raw, 1500, S2C, 23.217.51.134:80, 192.168.10.19:35519, 301:1:1, allow
07/03-13:39:36.238760, 6749077, TCP, raw, 283, C2S, 192.168.10.16:56230, 54.175.83.148:443, 301:1:1, allow
07/03-13:40:33.098953, 6772911, TCP, raw, 1500, S2C, 93.184.216.180:80, 192.168.10.51:55808, 301:1:1, allow
07/03-13:40:33.494093, 6773386, TCP, raw, 1500, S2C, 52.84.142.241:80, 192.168.10.51:57639, 301:1:1, allow
07/03-13:40:33.599015, 6773567, TCP, raw, 1500, S2C, 89.163.159.101:80, 192.168.10.51:57335, 301:1:1, allow
07/03-13:40:35.777081, 6776031, TCP, raw, 1500, S2C, 23.194.108.45:80, 192.168.10.51:54647, 301:1:1, allow
07/03-13:41:07.289109, 6789696, TCP, raw, 166, C2S, 192.168.10.14:52789, 151.101.20.69:443, 301:1:1, allow
07/03-13:41:07.294810, 6789702, TCP, raw, 394, C2S, 192.168.10.14:52790, 151.101.20.69:443, 301:1:1, allow
07/03-13:41:17.246309, 6797619, TCP, raw, 166, C2S, 192.168.10.14:52949, 34.225.206.80:443, 301:1:1, allow
07/03-13:42:15.512456, 6816875, TCP, raw, 1500, S2C, 151.101.210.2:80, 192.168.10.25:53264, 301:1:1, allow
07/03-13:47:41.902935, 6888309, TCP, raw, 246, C2S, 192.168.10.16:47304, 23.21.128.187:443, 301:2:1, allow
07/03-13:47:44.814926, 6888654, TCP, raw, 246, C2S, 192.168.10.16:47376, 23.21.128.187:443, 301:2:1, allow
07/03-13:47:57.985906, 6890479, TCP, raw, 569, C2S, 192.168.10.16:47394, 23.21.128.187:443, 301:2:1, allow
07/03-13:48:44.065909, 6893064, TCP, raw, 60, S2C, 23.21.128.187:443, 192.168.10.16:47322, 301:1:1, allow
07/03-13:48:44.065912, 6893065, TCP, raw, 60, S2C, 23.21.128.187:443, 192.168.10.16:47312, 301:1:1, allow
07/03-13:49:32.637152, 6897008, TCP, raw, 52, C2S, 192.168.10.25:53791, 149.6.126.132:80, 301:1:1, allow
07/03-13:50:02.415785, 6911947, TCP, raw, 74, S2C, 172.217.7.6:443, 192.168.10.5:55623, 306:1:0, allow
07/03-13:52:06.361799, 6945932, TCP, raw, 200, C2S, 192.168.10.51:39012, 162.213.33.44:443, 301:1:1, allow
07/03-13:52:17.605281, 6948700, TCP, raw, 52, C2S, 192.168.10.25:54193, 104.97.116.107:80, 301:1:1, allow
07/03-13:52:22.031560, 6950256, TCP, raw, 1500, S2C, 151.101.130.2:80, 192.168.10.25:54260, 301:1:1, allow
07/03-14:01:24.994277, 7098191, TCP, raw, 40, C2S, 192.168.10.15:51281, 104.24.11.72:80, 301:1:1, allow
07/03-14:02:58.781326, 7118311, TCP, raw, 1500, S2C, 199.96.57.6:80, 192.168.10.16:52060, 301:1:1, allow
07/03-14:02:58.929413, 7118568, TCP, raw, 1500, S2C, 52.84.145.158:80, 192.168.10.16:43178, 301:1:1, allow
07/03-14:11:52.425030, 7277351, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:57282, 301:1:1, allow
07/03-14:12:01.739126, 7282183, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:57354, 301:1:1, allow
07/03-14:12:35.823372, 7296514, TCP, raw, 52, C2S, 192.168.10.25:57605, 104.88.102.228:80, 301:1:1, allow
07/03-14:12:41.298390, 7298544, TCP, raw, 52, C2S, 192.168.10.25:57667, 151.101.2.2:80, 301:1:1, allow
07/03-14:15:02.672910, 7333500, TCP, raw, 52, C2S, 192.168.10.25:58197, 64.225.158.189:80, 301:1:1, allow
07/03-14:15:32.381848, 7349590, TCP, raw, 40, C2S, 192.168.10.19:60018, 104.20.115.18:80, 301:1:1, allow
07/03-14:15:32.391091, 7349613, TCP, raw, 40, C2S, 192.168.10.19:60020, 104.20.115.18:80, 301:1:1, allow
07/03-14:15:32.395729, 7349661, TCP, raw, 40, C2S, 192.168.10.19:33618, 104.20.114.18:80, 301:1:1, allow
07/03-14:15:37.762734, 7357286, TCP, raw, 1500, S2C, 167.114.210.7:80, 192.168.10.19:46268, 301:2:1, allow
07/03-14:20:04.815392, 7412553, TCP, raw, 40, C2S, 192.168.10.5:56806, 157.240.2.35:443, 301:1:1, allow
07/03-14:22:48.061721, 7465040, TCP, raw, 52, C2S, 192.168.10.25:59307, 23.194.141.249:80, 301:1:1, allow
07/03-14:22:48.116086, 7465086, TCP, raw, 52, C2S, 192.168.10.25:59312, 104.88.4.88:80, 301:1:1, allow
07/03-14:22:49.041035, 7465420, TCP, raw, 1500, S2C, 23.111.9.30:80, 192.168.10.25:59324, 301:1:1, allow
07/03-14:22:58.685644, 7469683, TCP, raw, 1500, S2C, 23.208.165.150:80, 192.168.10.5:56973, 301:1:1, allow
07/03-14:22:58.707001, 7469704, TCP, raw, 1500, S2C, 23.208.165.150:80, 192.168.10.5:56972, 301:1:1, allow
07/03-14:25:37.217942, 7522631, TCP, raw, 40, C2S, 192.168.10.8:52041, 69.31.33.105:80, 301:1:1, allow
07/03-14:29:30.156370, 7587156, TCP, raw, 1500, C2S, 192.168.10.5:57531, 192.168.10.50:7215, 301:1:1, allow
07/03-14:30:03.822379, 7595992, TCP, raw, 52, S2C, 52.84.145.82:80, 192.168.10.25:60665, 301:1:1, allow
07/03-14:30:04.582037, 7597501, TCP, raw, 52, S2C, 185.36.171.181:80, 192.168.10.25:60676, 301:1:1, allow
07/03-14:30:04.594705, 7597510, TCP, raw, 52, S2C, 149.202.197.102:80, 192.168.10.25:60679, 301:1:1, allow
07/03-14:30:10.640408, 7604632, TCP, raw, 40, C2S, 192.168.10.25:60769, 93.179.237.143:80, 301:1:1, allow
07/03-14:32:54.947260, 7672254, TCP, raw, 52, C2S, 192.168.10.16:58742, 54.175.83.148:443, 301:1:1, allow
07/03-14:33:08.298702, 7674995, TCP, raw, 1500, S2C, 151.101.2.2:80, 192.168.10.25:60993, 301:1:1, allow
07/03-14:33:26.947157, 7680741, TCP, raw, 60, S2C, 54.175.83.148:443, 192.168.10.16:58740, 301:1:1, allow
07/03-14:40:37.402006, 7784001, TCP, raw, 190, C2S, 192.168.10.5:58968, 209.15.36.34:443, 301:1:1, allow
07/03-14:43:27.955030, 7837018, TCP, raw, 52, C2S, 192.168.10.25:62739, 151.101.2.2:80, 301:1:1, allow
07/03-14:43:32.732804, 7838243, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:62785, 301:1:1, allow
07/03-14:43:44.318238, 7840757, TCP, raw, 52, C2S, 192.168.10.25:62877, 23.15.4.16:80, 301:1:1, allow
07/03-14:44:32.505056, 7851502, TCP, raw, 52, C2S, 192.168.10.8:52373, 216.58.219.194:443, 306:1:0, allow
07/03-14:46:05.329621, 7871026, TCP, raw, 1500, S2C, 151.101.129.34:80, 192.168.10.51:50781, 301:1:1, allow
07/03-14:46:05.789270, 7871295, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.51:60654, 301:1:1, allow
07/03-14:46:05.790548, 7871309, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.51:60650, 301:1:1, allow
07/03-14:46:05.797234, 7871344, TCP, raw, 1500, S2C, 52.84.142.241:80, 192.168.10.51:59372, 301:1:1, allow
07/03-14:46:05.797551, 7871350, TCP, raw, 52, C2S, 192.168.10.51:39461, 151.101.21.198:80, 301:1:1, allow
07/03-14:46:05.808465, 7871416, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.51:60656, 301:1:1, allow
07/03-14:46:05.810746, 7871448, TCP, raw, 1500, S2C, 151.101.1.34:80, 192.168.10.51:60657, 301:1:1, allow
07/03-14:46:05.812236, 7871470, TCP, raw, 1500, S2C, 151.101.65.34:80, 192.168.10.51:50980, 301:1:1, allow
07/03-14:46:05.830088, 7871634, TCP, raw, 1500, S2C, 151.101.65.34:80, 192.168.10.51:50979, 301:1:1, allow
07/03-14:46:07.450266, 7873231, TCP, raw, 1500, S2C, 151.101.1.181:80, 192.168.10.51:44510, 301:1:1, allow
07/03-14:46:07.484538, 7873464, TCP, raw, 1500, S2C, 54.192.37.194:80, 192.168.10.51:51107, 301:1:1, allow
07/03-14:46:08.929858, 7874241, TCP, raw, 1500, S2C, 151.101.129.34:80, 192.168.10.51:50871, 301:1:1, allow
07/03-14:46:10.240111, 7877271, TCP, raw, 1500, S2C, 54.192.37.164:80, 192.168.10.51:41652, 301:1:1, allow
07/03-14:46:11.560471, 7879324, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.51:37184, 301:1:1, allow
07/03-14:48:10.046165, 7911175, TCP, raw, 1500, S2C, 104.27.144.38:80, 192.168.10.12:55824, 301:1:1, allow
07/03-14:48:13.389509, 7915079, TCP, raw, 1500, S2C, 199.96.57.6:80, 192.168.10.12:45342, 301:1:1, allow
07/03-14:48:13.599637, 7915361, TCP, raw, 1500, S2C, 213.19.161.155:80, 192.168.10.12:48902, 301:1:1, allow
07/03-14:48:15.605129, 7919708, TCP, raw, 52, C2S, 192.168.10.12:56618, 104.193.88.102:80, 301:1:1, allow
07/03-14:49:00.856395, 7925205, TCP, raw, 40, C2S, 192.168.10.8:52513, 104.19.192.102:80, 301:1:1, allow
07/03-14:53:33.490790, 8014247, TCP, raw, 52, C2S, 192.168.10.25:64552, 23.194.111.4:80, 301:1:1, allow
07/03-14:53:42.761444, 8016575, TCP, raw, 1500, S2C, 151.101.210.2:80, 192.168.10.25:64611, 301:1:1, allow
07/03-14:56:10.584220, 8065379, UDP, raw, 96, C2S, 192.168.10.5:57283, 172.217.12.147:443, 301:1:1, allow
07/03-14:56:14.593101, 8067518, UDP, raw, 96, C2S, 192.168.10.5:58167, 172.217.12.147:443, 301:1:1, allow
07/03-14:56:18.601386, 8068805, UDP, raw, 96, C2S, 192.168.10.5:58799, 172.217.12.147:443, 301:1:1, allow
07/03-14:56:22.610625, 8069427, UDP, raw, 96, C2S, 192.168.10.5:53251, 172.217.12.147:443, 301:1:1, allow
07/03-14:56:26.613308, 8069780, UDP, raw, 96, C2S, 192.168.10.5:63740, 172.217.12.147:443, 301:1:1, allow
07/03-15:03:58.962860, 8202342, TCP, raw, 1500, S2C, 151.101.2.2:80, 192.168.10.25:50448, 301:1:1, allow
07/03-15:09:31.519598, 8264708, TCP, raw, 1500, S2C, 23.194.181.41:80, 192.168.10.19:44693, 301:1:1, allow
07/03-15:09:32.062951, 8265376, TCP, raw, 1500, S2C, 23.15.4.8:80, 192.168.10.19:46418, 301:1:1, allow
07/03-15:09:34.254514, 8267158, TCP, raw, 52, S2C, 23.52.155.27:80, 192.168.10.25:51515, 301:1:1, allow
07/03-15:14:04.898318, 8315675, TCP, raw, 52, C2S, 192.168.10.25:52109, 23.47.176.20:80, 301:1:1, allow
07/03-15:14:12.320020, 8316963, TCP, raw, 52, C2S, 192.168.10.25:52162, 151.101.2.2:80, 301:1:1, allow
07/03-15:14:20.041499, 8318592, TCP, raw, 1500, S2C, 23.15.4.10:80, 192.168.10.25:52237, 301:1:1, allow
07/03-15:14:24.695797, 8319631, TCP, raw, 52, S2C, 23.194.181.103:80, 192.168.10.25:52280, 301:1:1, allow
07/03-15:16:17.226087, 8345605, TCP, raw, 1500, S2C, 172.98.66.58:80, 192.168.10.19:54776, 301:1:1, allow
07/03-15:24:18.911310, 8427233, TCP, raw, 52, C2S, 192.168.10.25:53763, 23.194.141.249:80, 301:1:1, allow
07/03-15:34:44.167064, 8548956, TCP, raw, 52, C2S, 192.168.10.25:55410, 151.101.2.2:80, 301:1:1, allow
07/03-15:37:56.492100, 8568554, TCP, raw, 40, C2S, 192.168.10.5:64021, 35.186.199.248:443, 301:1:1, allow
07/03-15:39:42.402768, 8582634, TCP, raw, 389, C2S, 192.168.10.9:3511, 94.199.252.153:443, 301:1:1, allow
07/03-15:45:02.465764, 8627625, TCP, raw, 1500, S2C, 151.101.130.2:80, 192.168.10.25:56969, 301:1:1, allow
07/03-15:51:00.470760, 8675892, TCP, raw, 52, C2S, 192.168.10.8:52853, 192.168.10.3:49666, 306:1:0, allow
07/03-15:52:47.876716, 8693554, TCP, raw, 1500, S2C, 54.192.37.70:80, 192.168.10.17:41268, 301:1:1, allow
07/03-15:55:12.318287, 8724587, TCP, raw, 52, C2S, 192.168.10.25:58467, 23.194.182.2:80, 301:1:1, allow
07/03-16:05:28.786129, 8815251, TCP, raw, 52, C2S, 192.168.10.25:60126, 23.194.182.2:80, 301:1:1, allow
07/03-16:10:26.204942, 8867556, TCP, raw, 40, C2S, 192.168.10.5:64201, 203.217.227.142:80, 301:2:1, allow
07/03-16:13:04.976281, 8884134, TCP, raw, 1500, S2C, 54.192.37.143:80, 192.168.10.51:37804, 301:1:1, allow
07/03-16:13:39.768865, 8892580, TCP, raw, 71, C2S, 192.168.10.19:42656, 222.255.27.165:443, 301:1:1, allow
07/03-16:16:02.795744, 8915055, TCP, raw, 52, C2S, 192.168.10.25:61450, 151.101.22.2:80, 301:1:1, allow
07/03-16:17:13.551231, 8926347, TCP, raw, 1500, S2C, 54.192.36.171:80, 192.168.10.17:55426, 301:1:1, allow
07/03-16:17:13.551566, 8926352, TCP, raw, 52, C2S, 192.168.10.17:55422, 54.192.36.171:80, 301:1:1, allow
07/03-16:17:13.622421, 8926530, TCP, raw, 1500, S2C, 54.192.36.196:80, 192.168.10.17:50405, 301:1:1, allow
07/03-16:17:13.631602, 8926576, TCP, raw, 1500, S2C, 54.192.36.196:80, 192.168.10.17:50404, 301:1:1, allow
07/03-16:17:13.661237, 8926722, TCP, raw, 52, C2S, 192.168.10.17:50414, 54.192.36.196:80, 301:1:1, allow
07/03-16:17:15.578549, 8930187, TCP, raw, 1500, S2C, 54.192.36.79:80, 192.168.10.17:52032, 301:1:1, allow
07/03-16:17:15.588268, 8930210, TCP, raw, 1500, S2C, 54.192.36.79:80, 192.168.10.17:52034, 301:1:1, allow
07/03-16:17:15.615091, 8930246, TCP, raw, 1500, S2C, 54.192.36.138:80, 192.168.10.17:42508, 301:1:1, allow
07/03-16:17:15.635935, 8930281, TCP, raw, 1500, S2C, 54.192.37.167:80, 192.168.10.17:57170, 301:1:1, allow
07/03-16:27:56.623950, 9018514, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:61790, 301:1:1, allow
07/03-16:35:03.549893, 9093401, TCP, raw, 202, C2S, 192.168.10.19:57064, 23.111.9.32:443, 301:1:1, allow
07/03-16:37:53.367803, 9129474, TCP, raw, 1500, S2C, 64.225.158.189:80, 192.168.10.12:35832, 301:1:1, allow
07/03-16:38:03.867102, 9134283, TCP, raw, 1500, S2C, 54.192.39.67:80, 192.168.10.17:59418, 301:1:1, allow
07/03-16:46:08.155003, 9223077, TCP, raw, 1500, S2C, 54.221.192.241:80, 192.168.10.17:56009, 301:1:1, allow
07/03-16:46:08.281114, 9223236, TCP, raw, 1500, S2C, 192.252.222.156:80, 192.168.10.17:52987, 301:1:1, allow
07/03-16:48:44.887712, 9262408, TCP, raw, 40, S2C, 185.36.171.181:80, 192.168.10.9:4158, 301:2:1, allow
07/03-16:48:45.147294, 9263652, TCP, raw, 40, S2C, 185.36.171.181:80, 192.168.10.9:4164, 301:2:1, allow
07/03-16:48:47.112798, 9269998, TCP, raw, 166, C2S, 192.168.10.9:4310, 54.192.37.39:443, 301:1:1, allow
07/03-16:50:06.631877, 9326057, TCP, raw, 1500, S2C, 72.247.10.24:80, 192.168.10.51:52632, 301:1:1, allow
07/03-16:50:06.638899, 9326066, TCP, raw, 1500, S2C, 72.247.10.24:80, 192.168.10.51:52637, 301:1:1, allow
07/03-16:53:04.143012, 9355890, TCP, raw, 1500, S2C, 152.195.32.39:80, 192.168.10.19:37926, 301:1:1, allow
07/03-16:53:05.050463, 9356235, TCP, raw, 1500, S2C, 108.168.178.47:80, 192.168.10.19:57867, 301:2:1, allow
07/03-16:57:00.860551, 9431198, TCP, raw, 1500, S2C, 23.194.109.170:80, 192.168.10.17:57014, 301:1:1, allow
07/03-16:59:39.545031, 9453571, TCP, raw, 1500, S2C, 69.28.157.150:80, 192.168.10.17:37195, 301:1:1, allow
07/03-16:59:39.574490, 9453638, TCP, raw, 1500, S2C, 69.28.157.150:80, 192.168.10.17:37201, 301:1:1, allow
07/03-17:02:20.425131, 9480613, TCP, raw, 1500, S2C, 104.88.84.233:80, 192.168.10.17:49145, 301:1:1, allow
07/03-17:02:20.489619, 9480656, TCP, raw, 1500, S2C, 165.254.34.41:80, 192.168.10.17:57051, 301:1:1, allow
07/03-17:02:20.597570, 9480858, TCP, raw, 1500, S2C, 104.88.84.233:80, 192.168.10.17:49151, 301:1:1, allow
07/03-17:02:21.528142, 9481724, TCP, raw, 1500, S2C, 54.192.36.226:80, 192.168.10.17:38662, 301:1:1, allow
07/03-17:02:22.576221, 9482285, TCP, raw, 1500, S2C, 209.48.71.138:80, 192.168.10.17:54165, 301:1:1, allow
07/03-17:02:23.572126, 9483763, TCP, raw, 1500, S2C, 54.192.36.254:80, 192.168.10.17:45549, 301:1:1, allow
07/03-17:05:31.151574, 9515769, TCP, raw, 1500, S2C, 192.35.249.124:80, 192.168.10.14:56375, 301:1:1, allow
07/03-17:07:30.284444, 9533223, TCP, raw, 40, C2S, 192.168.10.15:52655, 185.49.84.172:443, 301:1:1, allow
07/03-17:07:36.235151, 9535925, TCP, raw, 40, S2C, 179.43.190.11:80, 192.168.10.19:33338, 301:1:1, allow
