07/05-11:42:57.616982, 2958, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:41:52.252789, 5876801, UDP, raw, 86, C2S, 192.168.10.9:60596, 192.168.10.3:53, 301:1:1, allow
07/05-12:41:52.253726, 5876806, UDP, raw, 86, C2S, 192.168.10.9:51422, 192.168.10.3:53, 301:1:1, allow
07/05-12:44:11.425458, 5897471, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/05-12:45:57.988502, 5914042, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-12:46:11.025751, 5915866, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/05-12:48:46.233449, 5946692, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53476, 301:1:1, allow
07/05-12:48:46.233467, 5946694, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53478, 301:1:1, allow
07/05-12:48:46.234211, 5946701, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53480, 301:1:1, allow
07/05-12:48:46.234310, 5946706, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53482, 301:1:1, allow
07/05-12:48:46.234376, 5946708, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53484, 301:1:1, allow
07/05-12:48:46.235115, 5946719, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53486, 301:1:1, allow
07/05-12:48:46.235163, 5946721, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53488, 301:1:1, allow
07/05-12:48:46.235284, 5946723, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53490, 301:1:1, allow
07/05-12:48:46.236063, 5946736, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53492, 301:1:1, allow
07/05-12:48:46.236076, 5946737, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53494, 301:1:1, allow
07/05-12:48:46.236111, 5946738, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53496, 301:1:1, allow
07/05-12:48:46.236849, 5946748, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53498, 301:1:1, allow
07/05-12:48:46.236898, 5946751, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53500, 301:1:1, allow
07/05-12:48:46.237676, 5946761, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53504, 301:1:1, allow
07/05-12:48:46.237796, 5946768, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53508, 301:1:1, allow
07/05-12:48:46.238625, 5946775, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53510, 301:1:1, allow
07/05-12:48:46.238681, 5946778, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53512, 301:1:1, allow
07/05-12:48:46.238919, 5946783, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53514, 301:1:1, allow
07/05-12:48:46.239467, 5946791, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53516, 301:1:1, allow
07/05-12:48:46.239498, 5946794, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53518, 301:1:1, allow
07/05-12:48:46.239694, 5946798, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53520, 301:1:1, allow
07/05-12:48:46.240257, 5946807, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53522, 301:1:1, allow
07/05-12:48:46.240307, 5946809, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53524, 301:1:1, allow
07/05-12:48:46.240539, 5946813, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53526, 301:1:1, allow
07/05-12:48:46.241070, 5946820, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53528, 301:1:1, allow
07/05-12:48:46.241239, 5946824, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53530, 301:1:1, allow
07/05-12:48:46.242224, 5946832, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53532, 301:1:1, allow
07/05-12:48:46.242248, 5946834, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53534, 301:1:1, allow
07/05-12:48:46.243137, 5946844, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53536, 301:1:1, allow
07/05-12:48:46.243149, 5946845, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53538, 301:1:1, allow
07/05-12:48:46.243199, 5946848, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53540, 301:1:1, allow
07/05-12:48:46.244002, 5946855, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53542, 301:1:1, allow
07/05-12:48:46.244967, 5946864, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53546, 301:1:1, allow
07/05-12:48:46.244980, 5946866, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53544, 301:1:1, allow
07/05-12:48:46.245016, 5946868, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53548, 301:1:1, allow
07/05-12:48:46.245441, 5946873, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53550, 301:1:1, allow
07/05-12:48:46.245712, 5946880, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53552, 301:1:1, allow
07/05-12:48:46.245736, 5946882, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53554, 301:1:1, allow
07/05-12:48:46.245834, 5946885, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53556, 301:1:1, allow
07/05-12:48:46.246532, 5946893, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53558, 301:1:1, allow
07/05-12:48:46.247623, 5946899, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53560, 301:1:1, allow
07/05-12:48:46.247674, 5946902, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53562, 301:1:1, allow
07/05-12:48:46.248140, 5946906, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53564, 301:1:1, allow
07/05-12:48:46.248503, 5946912, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53566, 301:1:1, allow
07/05-12:48:46.250207, 5946917, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53568, 301:1:1, allow
07/05-12:48:46.250560, 5946924, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53570, 301:1:1, allow
07/05-12:48:46.250579, 5946926, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53572, 301:1:1, allow
07/05-12:48:46.251093, 5946933, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53574, 301:1:1, allow
07/05-12:48:46.251333, 5946938, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53576, 301:1:1, allow
07/05-12:48:46.251571, 5946941, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53578, 301:1:1, allow
07/05-12:48:46.252101, 5946952, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53582, 301:1:1, allow
07/05-12:48:46.252311, 5946956, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53584, 301:1:1, allow
07/05-12:48:46.252600, 5946962, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53586, 301:1:1, allow
07/05-12:48:46.252821, 5946965, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53588, 301:1:1, allow
07/05-12:48:46.253335, 5946980, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53594, 301:1:1, allow
07/05-12:48:46.253664, 5946987, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53596, 301:1:1, allow
07/05-12:48:46.253903, 5946991, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53598, 301:1:1, allow
07/05-12:48:46.254150, 5946997, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53600, 301:1:1, allow
07/05-12:48:46.254420, 5947004, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53602, 301:1:1, allow
07/05-12:48:46.254434, 5947006, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53604, 301:1:1, allow
07/05-12:48:46.254621, 5947011, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53606, 301:1:1, allow
07/05-12:48:46.254909, 5947016, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53608, 301:1:1, allow
07/05-12:48:46.255133, 5947021, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53610, 301:1:1, allow
07/05-12:48:46.255421, 5947027, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53612, 301:1:1, allow
07/05-12:48:46.255481, 5947031, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53614, 301:1:1, allow
07/05-12:48:46.255953, 5947042, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53618, 301:1:1, allow
07/05-12:48:46.256180, 5947046, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53620, 301:1:1, allow
07/05-12:48:46.256495, 5947053, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53622, 301:1:1, allow
07/05-12:48:46.256505, 5947054, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53624, 301:1:1, allow
07/05-12:48:46.256653, 5947058, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53626, 301:1:1, allow
07/05-12:48:46.256979, 5947065, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53628, 301:1:1, allow
07/05-12:48:46.258581, 5947071, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53630, 301:1:1, allow
07/05-12:48:46.258678, 5947078, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53634, 301:1:1, allow
07/05-12:48:46.259174, 5947085, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53636, 301:1:1, allow
07/05-12:48:46.259413, 5947092, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53638, 301:1:1, allow
07/05-12:48:46.259488, 5947096, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53640, 301:1:1, allow
07/05-12:48:46.259520, 5947098, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53642, 301:1:1, allow
07/05-12:48:46.260006, 5947106, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53644, 301:1:1, allow
07/05-12:48:46.260195, 5947111, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53646, 301:1:1, allow
07/05-12:48:46.260244, 5947114, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53648, 301:1:1, allow
07/05-12:48:46.260296, 5947118, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53650, 301:1:1, allow
07/05-12:48:46.260780, 5947126, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53652, 301:1:1, allow
07/05-12:48:46.260949, 5947132, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53654, 301:1:1, allow
07/05-12:48:46.261009, 5947136, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53656, 301:1:1, allow
07/05-12:48:46.261048, 5947138, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53658, 301:1:1, allow
07/05-12:48:46.261508, 5947145, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53660, 301:1:1, allow
07/05-12:48:46.261754, 5947156, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53662, 301:1:1, allow
07/05-12:48:46.261765, 5947158, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53664, 301:1:1, allow
07/05-12:48:46.261804, 5947159, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53666, 301:1:1, allow
07/05-12:48:46.261852, 5947162, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53668, 301:1:1, allow
07/05-12:48:46.262567, 5947175, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53670, 301:1:1, allow
07/05-12:48:46.262579, 5947176, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53672, 301:1:1, allow
07/05-12:48:46.262749, 5947183, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53674, 301:1:1, allow
07/05-12:48:46.263041, 5947187, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53678, 301:1:1, allow
07/05-12:48:46.263359, 5947197, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53680, 301:1:1, allow
07/05-12:48:46.263402, 5947198, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53682, 301:1:1, allow
07/05-12:48:46.263832, 5947204, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53684, 301:1:1, allow
07/05-12:48:46.263932, 5947213, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53686, 301:1:1, allow
07/05-12:48:46.263978, 5947215, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53688, 301:1:1, allow
07/05-12:48:46.264040, 5947218, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53690, 301:1:1, allow
07/05-12:48:46.264317, 5947223, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53692, 301:1:1, allow
07/05-12:48:54.543941, 5948472, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53736, 301:1:1, allow
07/05-12:48:54.544813, 5948477, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53738, 301:1:1, allow
07/05-12:48:54.545720, 5948482, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53740, 301:1:1, allow
07/05-12:48:54.547949, 5948487, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53742, 301:1:1, allow
07/05-12:48:54.548529, 5948489, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53744, 301:1:1, allow
07/05-12:48:54.549266, 5948495, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53746, 301:1:1, allow
07/05-12:48:54.550148, 5948502, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53748, 301:1:1, allow
07/05-12:48:54.550198, 5948504, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53750, 301:1:1, allow
07/05-12:48:54.550965, 5948511, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53752, 301:1:1, allow
07/05-12:48:54.551038, 5948514, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53754, 301:1:1, allow
07/05-12:48:54.551884, 5948522, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53756, 301:1:1, allow
07/05-12:48:54.551909, 5948524, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53758, 301:1:1, allow
07/05-12:48:54.552746, 5948531, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53760, 301:1:1, allow
07/05-12:48:54.552847, 5948534, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53762, 301:1:1, allow
07/05-12:48:54.553327, 5948539, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53764, 301:1:1, allow
07/05-12:48:54.557150, 5948550, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53768, 301:1:1, allow
07/05-12:48:54.558065, 5948557, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53770, 301:1:1, allow
07/05-12:48:54.558883, 5948565, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53774, 301:1:1, allow
07/05-12:48:54.558972, 5948569, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53776, 301:1:1, allow
07/05-12:48:54.559817, 5948577, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53778, 301:1:1, allow
07/05-12:48:54.559865, 5948579, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53780, 301:1:1, allow
07/05-12:48:54.560659, 5948586, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53784, 301:1:1, allow
07/05-12:48:54.560706, 5948588, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53786, 301:1:1, allow
07/05-12:48:54.561545, 5948597, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53788, 301:1:1, allow
07/05-12:48:54.561547, 5948598, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53790, 301:1:1, allow
07/05-12:48:54.562336, 5948607, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53792, 301:1:1, allow
07/05-12:48:54.562382, 5948609, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53794, 301:1:1, allow
07/05-12:48:54.563241, 5948615, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53796, 301:1:1, allow
07/05-12:48:54.564205, 5948624, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53800, 301:1:1, allow
07/05-12:48:54.565011, 5948632, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53802, 301:1:1, allow
07/05-12:48:54.565059, 5948634, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53804, 301:1:1, allow
07/05-12:48:54.565838, 5948642, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53806, 301:1:1, allow
07/05-12:48:54.566718, 5948652, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53810, 301:1:1, allow
07/05-12:48:54.566767, 5948654, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53812, 301:1:1, allow
07/05-12:48:54.567535, 5948660, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53814, 301:1:1, allow
07/05-12:48:54.567607, 5948664, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53816, 301:1:1, allow
07/05-12:48:54.568363, 5948674, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53820, 301:1:1, allow
07/05-12:48:54.568437, 5948677, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53822, 301:1:1, allow
07/05-12:48:54.569253, 5948689, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53826, 301:1:1, allow
07/05-12:48:54.570086, 5948700, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53830, 301:1:1, allow
07/05-12:48:54.570338, 5948706, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53834, 301:1:1, allow
07/05-12:48:54.570924, 5948713, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53836, 301:1:1, allow
07/05-12:48:54.571014, 5948719, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53838, 301:1:1, allow
07/05-12:48:54.571764, 5948732, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53842, 301:1:1, allow
07/05-12:48:54.571812, 5948735, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53844, 301:1:1, allow
07/05-12:48:54.571851, 5948736, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53846, 301:1:1, allow
07/05-12:48:54.572617, 5948745, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53848, 301:1:1, allow
07/05-12:48:54.572658, 5948746, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53850, 301:1:1, allow
07/05-12:48:54.572860, 5948751, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53852, 301:1:1, allow
07/05-12:48:54.573513, 5948758, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53854, 301:1:1, allow
07/05-12:48:54.573777, 5948765, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:53858, 301:1:1, allow
