07/04-12:01:53.174283, 48313, TCP, raw, 166, C2S, 192.168.10.9:1461, 54.210.27.11:443, 301:2:1, allow
07/04-13:06:04.115219, 6563682, TCP, raw, 1500, S2C, 23.66.191.194:80, 192.168.10.19:41834, 301:1:1, allow
07/04-13:06:04.529370, 6564182, TCP, raw, 1500, S2C, 184.28.197.240:80, 192.168.10.19:59166, 301:1:1, allow
07/04-13:06:04.652531, 6564280, TCP, raw, 1500, S2C, 52.90.89.118:80, 192.168.10.19:56319, 301:1:1, allow
07/04-13:06:04.921375, 6564407, TCP, raw, 1500, S2C, 173.192.200.113:80, 192.168.10.19:38592, 301:1:1, allow
07/04-13:06:05.904282, 6566473, TCP, raw, 1500, S2C, 151.101.130.2:80, 192.168.10.19:54842, 301:2:1, allow
07/04-13:06:06.741107, 6567486, TCP, raw, 1500, S2C, 93.184.216.180:80, 192.168.10.19:34562, 301:2:1, allow
07/04-13:06:08.082589, 6568932, TCP, raw, 1500, S2C, 23.15.4.9:80, 192.168.10.19:33165, 301:2:1, allow
07/04-13:06:10.260903, 6572020, TCP, raw, 1500, S2C, 23.99.206.151:80, 192.168.10.19:47598, 301:2:1, allow
07/04-13:08:48.566205, 6615827, TCP, raw, 166, C2S, 192.168.10.14:51587, 98.139.225.43:443, 301:1:1, allow
07/04-13:10:18.875384, 6646246, TCP, raw, 166, C2S, 192.168.10.5:53440, 72.247.71.12:443, 301:2:1, allow
07/04-13:10:44.620668, 6660374, TCP, raw, 166, C2S, 192.168.10.14:51841, 54.152.24.232:443, 301:1:1, allow
07/04-13:17:51.000735, 6780510, TCP, raw, 1492, S2C, 106.11.129.144:443, 192.168.10.15:52660, 301:1:1, allow
07/04-13:18:22.208369, 6787144, TCP, raw, 48, C2S, 192.168.10.9:3219, 82.163.48.80:443, 306:1:0, allow
07/04-13:22:20.800403, 6814111, TCP, raw, 166, C2S, 192.168.10.5:53746, 198.11.132.221:443, 301:1:1, allow
07/04-13:23:45.197605, 6836252, TCP, raw, 1500, S2C, 213.19.161.155:80, 192.168.10.16:56642, 301:1:1, allow
07/04-13:23:45.213716, 6836435, TCP, raw, 1500, S2C, 213.19.161.155:80, 192.168.10.16:56652, 301:1:1, allow
07/04-13:23:45.214459, 6836447, TCP, raw, 1500, S2C, 213.19.161.155:80, 192.168.10.16:56650, 301:1:1, allow
07/04-13:23:45.214989, 6836455, TCP, raw, 1500, S2C, 213.19.161.155:80, 192.168.10.16:56648, 301:1:1, allow
07/04-13:23:47.924377, 6843624, TCP, raw, 52, C2S, 192.168.10.16:34830, 104.193.88.102:80, 301:2:1, allow
07/04-13:23:47.944262, 6843638, TCP, raw, 52, C2S, 192.168.10.16:34832, 104.193.88.102:80, 301:2:1, allow
07/04-13:24:38.279416, 6854729, TCP, raw, 40, C2S, 192.168.10.15:52721, 103.228.55.44:80, 301:1:1, allow
07/04-13:37:31.900568, 7040204, TCP, raw, 200, C2S, 192.168.10.51:37746, 162.213.33.50:443, 301:1:1, allow
07/04-13:39:54.153752, 7068997, TCP, raw, 52, C2S, 192.168.10.25:50690, 23.52.144.225:80, 301:1:1, allow
07/04-13:41:47.902385, 7088737, TCP, raw, 200, C2S, 192.168.10.51:37754, 162.213.33.50:443, 301:1:1, allow
07/04-13:43:17.368871, 7109130, TCP, raw, 52, C2S, 192.168.10.25:50710, 40.117.91.56:80, 301:1:1, allow
07/04-13:43:20.222261, 7110582, TCP, raw, 52, C2S, 192.168.10.25:50772, 191.237.32.134:80, 301:1:1, allow
07/04-13:43:21.533127, 7111708, TCP, raw, 52, S2C, 191.237.32.134:80, 192.168.10.25:50786, 301:1:1, allow
07/04-13:52:03.628894, 7253510, TCP, raw, 1500, S2C, 151.101.208.249:80, 192.168.10.16:37090, 301:1:1, allow
07/04-14:02:04.728527, 7444847, TCP, raw, 40, C2S, 192.168.10.5:54416, 23.15.4.16:80, 301:1:1, allow
07/04-14:02:04.897812, 7444991, TCP, raw, 40, C2S, 192.168.10.5:54425, 209.48.71.112:80, 301:1:1, allow
07/04-14:04:01.184839, 7476365, TCP, raw, 1500, S2C, 54.221.192.241:80, 192.168.10.12:58120, 301:1:1, allow
07/04-14:04:01.845886, 7477268, TCP, raw, 52, C2S, 192.168.10.12:58884, 151.101.208.249:80, 301:1:1, allow
07/04-14:04:01.861323, 7477309, TCP, raw, 1500, S2C, 23.217.51.134:80, 192.168.10.12:57786, 301:1:1, allow
07/04-14:04:15.726299, 7484998, TCP, raw, 254, C2S, 192.168.10.5:54828, 156.154.202.32:443, 301:1:1, allow
07/04-14:05:02.734803, 7491958, TCP, raw, 1500, S2C, 54.221.192.241:80, 192.168.10.51:40659, 301:1:1, allow
07/04-14:05:02.871356, 7492150, TCP, raw, 1500, S2C, 192.252.222.156:80, 192.168.10.51:36088, 301:1:1, allow
07/04-14:05:03.511675, 7492919, TCP, raw, 1500, S2C, 23.217.51.134:80, 192.168.10.51:55859, 301:1:1, allow
07/04-14:05:59.638298, 7509702, TCP, raw, 40, S2C, 74.217.63.23:443, 192.168.10.14:53444, 301:2:1, allow
07/04-14:06:02.785464, 7511616, TCP, raw, 52, C2S, 192.168.10.51:38242, 162.213.33.50:443, 301:1:1, allow
07/04-14:06:06.195033, 7512045, TCP, raw, 166, C2S, 192.168.10.14:53469, 23.194.140.38:443, 301:2:1, allow
07/04-14:06:31.008147, 7519023, TCP, raw, 115, S2C, 165.224.212.35:443, 192.168.10.5:55007, 301:1:1, allow
07/04-14:07:17.358877, 7552649, TCP, raw, 52, C2S, 192.168.10.25:52389, 173.223.152.83:80, 301:1:1, allow
07/04-14:09:20.076420, 7571057, TCP, raw, 200, C2S, 192.168.10.51:38251, 162.213.33.50:443, 301:1:1, allow
07/04-14:09:20.076427, 7571058, TCP, raw, 200, C2S, 192.168.10.51:38252, 162.213.33.50:443, 301:1:1, allow
07/04-14:16:24.002751, 7642721, TCP, raw, 40, C2S, 192.168.10.9:4036, 99.192.248.32:80, 301:1:1, allow
07/04-14:16:24.003931, 7642722, TCP, raw, 40, C2S, 192.168.10.9:4037, 99.192.248.32:80, 301:1:1, allow
07/04-14:16:24.003934, 7642723, TCP, raw, 40, C2S, 192.168.10.9:4038, 99.192.248.32:80, 301:1:1, allow
07/04-14:23:16.558238, 7703323, TCP, raw, 1500, S2C, 23.15.4.8:80, 192.168.10.12:59226, 301:1:1, allow
07/04-14:23:16.562603, 7703334, TCP, raw, 1500, S2C, 23.15.4.8:80, 192.168.10.12:59228, 301:1:1, allow
07/04-14:23:16.564379, 7703358, TCP, raw, 1500, S2C, 23.15.4.8:80, 192.168.10.12:59230, 301:1:1, allow
07/04-14:23:17.394659, 7703905, TCP, raw, 133, C2S, 192.168.10.12:46406, 104.16.160.135:443, 301:1:1, allow
07/04-14:27:33.274849, 7746478, TCP, raw, 215, C2S, 192.168.10.51:39627, 87.98.150.101:443, 301:1:1, allow
07/04-14:27:33.458867, 7746480, TCP, raw, 215, C2S, 192.168.10.51:39628, 87.98.150.101:443, 301:1:1, allow
07/04-14:31:13.020830, 7793499, TCP, raw, 40, C2S, 192.168.10.12:48628, 106.11.172.65:443, 301:1:1, allow
07/04-14:37:59.769424, 7872589, TCP, raw, 166, C2S, 192.168.10.9:4309, 198.232.125.123:443, 301:1:1, allow
07/04-14:37:59.780074, 7872622, TCP, raw, 166, C2S, 192.168.10.9:4308, 198.232.125.123:443, 301:1:1, allow
07/04-14:44:29.539220, 7951973, TCP, raw, 238, C2S, 192.168.10.15:54114, 209.15.36.34:443, 301:2:1, allow
07/04-14:50:07.190321, 8015978, TCP, raw, 58, C2S, 192.168.10.25:53209, 199.96.57.6:443, 301:1:1, allow
07/04-14:50:09.599472, 8017567, TCP, raw, 58, C2S, 192.168.10.25:53250, 104.244.43.176:443, 301:1:1, allow
07/04-14:51:01.050487, 8033654, TCP, raw, 200, C2S, 192.168.10.51:38535, 162.213.33.50:443, 301:1:1, allow
07/04-14:51:01.050492, 8033655, TCP, raw, 200, C2S, 192.168.10.51:38536, 162.213.33.50:443, 301:1:1, allow
07/04-14:54:29.385451, 8082806, TCP, raw, 1500, S2C, 54.192.37.28:80, 192.168.10.19:51425, 301:2:1, allow
07/04-14:54:29.386961, 8082824, TCP, raw, 1500, S2C, 54.192.37.28:80, 192.168.10.19:51429, 301:2:1, allow
07/04-14:54:29.388484, 8082843, TCP, raw, 1500, S2C, 54.192.37.28:80, 192.168.10.19:51427, 301:2:1, allow
07/04-14:54:29.388725, 8082845, TCP, raw, 1500, S2C, 54.192.37.28:80, 192.168.10.19:51430, 301:2:1, allow
07/04-14:54:29.397143, 8082948, TCP, raw, 1500, S2C, 54.192.37.28:80, 192.168.10.19:51426, 301:2:1, allow
07/04-14:57:58.617289, 8105496, TCP, raw, 1500, S2C, 62.138.109.56:80, 192.168.10.12:46892, 301:1:1, allow
07/04-14:57:59.955862, 8106587, TCP, raw, 1500, S2C, 62.138.109.36:80, 192.168.10.12:39022, 301:2:1, allow
07/04-14:58:00.145415, 8106832, TCP, raw, 1500, S2C, 23.202.233.246:80, 192.168.10.12:40776, 301:2:1, allow
07/04-14:58:00.523732, 8107078, TCP, raw, 1500, S2C, 89.163.159.115:80, 192.168.10.12:46200, 301:2:1, allow
07/04-14:58:00.800482, 8107225, TCP, raw, 1500, S2C, 52.84.59.171:80, 192.168.10.12:39002, 301:2:1, allow
07/04-14:58:14.360607, 8114972, TCP, raw, 1500, S2C, 151.101.192.250:80, 192.168.10.17:60274, 301:1:1, allow
07/04-14:58:14.361346, 8114980, TCP, raw, 1500, S2C, 151.101.192.250:80, 192.168.10.17:60275, 301:1:1, allow
07/04-14:58:14.363156, 8115005, TCP, raw, 52, C2S, 192.168.10.17:60272, 151.101.192.250:80, 301:1:1, allow
07/04-14:58:14.364363, 8115018, TCP, raw, 1500, S2C, 151.101.192.250:80, 192.168.10.17:60273, 301:1:1, allow
07/04-14:58:14.427712, 8115304, TCP, raw, 1500, S2C, 151.101.128.250:80, 192.168.10.17:53340, 301:1:1, allow
07/04-15:00:54.214516, 8144504, TCP, raw, 52, S2C, 23.61.187.27:80, 192.168.10.25:53571, 301:1:1, allow
07/04-15:08:41.824955, 8196006, TCP, raw, 52, C2S, 192.168.10.5:56822, 192.168.10.3:49671, 306:1:0, allow
07/04-15:28:52.408396, 8263401, TCP, raw, 1500, S2C, 8.27.240.125:80, 192.168.10.12:41220, 301:1:1, allow
07/04-15:29:03.813410, 8266339, TCP, raw, 1477, S2C, 72.5.205.39:80, 192.168.10.15:54817, 301:1:1, allow
07/04-15:32:58.964311, 8297491, TCP, raw, 52, C2S, 192.168.10.12:41340, 8.27.240.125:80, 301:1:1, allow
07/04-15:42:45.558278, 8334106, TCP, raw, 1500, S2C, 23.15.4.11:80, 192.168.10.19:58430, 301:2:1, allow
07/04-15:43:20.373171, 8349096, TCP, raw, 1500, S2C, 8.27.240.125:80, 192.168.10.12:41500, 301:1:1, allow
07/04-15:50:07.773052, 8387050, TCP, raw, 470, C2S, 192.168.10.9:5188, 23.60.139.27:80, 301:1:1, allow
07/04-15:51:37.601272, 8392865, TCP, raw, 1500, S2C, 8.27.240.125:80, 192.168.10.12:41636, 301:1:1, allow
07/04-15:53:41.902211, 8399280, TCP, raw, 1500, S2C, 8.27.240.125:80, 192.168.10.12:41652, 301:1:1, allow
07/04-16:03:10.386196, 8445513, TCP, raw, 1500, S2C, 104.239.227.128:80, 192.168.10.51:53555, 301:1:1, allow
07/04-16:03:10.464796, 8445573, TCP, raw, 1500, S2C, 104.239.227.128:80, 192.168.10.51:53558, 301:1:1, allow
07/04-16:03:10.467573, 8445587, TCP, raw, 1500, S2C, 104.239.227.128:80, 192.168.10.51:53559, 301:1:1, allow
07/04-16:07:52.696762, 8467861, TCP, raw, 60, S2C, 173.239.42.214:80, 192.168.10.51:33144, 301:1:1, allow
07/04-16:24:57.770860, 8609975, TCP, raw, 392, C2S, 192.168.10.15:55347, 185.49.132.3:443, 301:1:1, allow
07/04-16:24:58.362418, 8610078, TCP, raw, 462, C2S, 192.168.10.15:55350, 185.49.132.3:443, 301:1:1, allow
07/04-16:25:00.673117, 8612100, TCP, raw, 451, C2S, 192.168.10.15:55385, 185.49.134.10:443, 301:2:1, allow
07/04-16:25:27.500110, 8623832, TCP, raw, 40, C2S, 192.168.10.5:56978, 13.107.21.200:80, 301:1:1, allow
07/04-16:25:30.713352, 8626821, TCP, raw, 40, C2S, 192.168.10.5:57063, 50.23.200.73:80, 301:1:1, allow
07/04-16:39:11.170809, 8740596, TCP, raw, 1500, S2C, 199.96.57.6:80, 192.168.10.51:40665, 301:1:1, allow
07/04-16:39:38.471276, 8747152, TCP, raw, 474, C2S, 192.168.10.19:58540, 185.147.176.25:443, 301:1:1, allow
07/04-16:39:48.202065, 8751053, TCP, raw, 52, S2C, 185.147.176.24:80, 192.168.10.19:42134, 301:1:1, allow
07/04-16:39:48.268487, 8751078, TCP, raw, 841, C2S, 192.168.10.14:54558, 64.210.137.100:80, 301:1:1, allow
07/04-16:44:23.871743, 8794271, TCP, raw, 527, C2S, 192.168.10.8:53339, 185.88.180.140:443, 301:1:1, allow
07/04-16:45:54.997820, 8801198, TCP, raw, 200, C2S, 192.168.10.51:39743, 162.213.33.50:443, 301:1:1, allow
07/04-16:48:55.254865, 8888687, TCP, raw, 1500, S2C, 23.208.217.225:80, 192.168.10.17:46578, 301:1:1, allow
07/04-17:01:59.669791, 9094480, TCP, raw, 40, S2C, 74.217.63.49:443, 192.168.10.9:6610, 301:1:1, allow
07/04-17:03:52.802607, 9123591, TCP, raw, 52, C2S, 192.168.10.51:55626, 45.56.65.7:80, 301:1:1, allow
07/04-17:04:42.573530, 9132174, TCP, raw, 40, C2S, 192.168.10.8:53736, 23.50.75.27:80, 301:1:1, allow
07/04-17:04:45.979107, 9132478, TCP, raw, 40, C2S, 192.168.10.8:53733, 23.50.75.27:80, 301:1:1, allow
07/04-17:05:07.609801, 9138944, TCP, raw, 166, C2S, 192.168.10.15:55812, 54.230.38.16:443, 301:2:1, allow
07/04-17:05:41.971441, 9142848, TCP, raw, 200, C2S, 192.168.10.51:40707, 162.213.33.50:443, 301:1:1, allow
07/04-17:06:16.101340, 9149662, TCP, raw, 1500, S2C, 216.137.43.119:80, 192.168.10.51:53547, 301:1:1, allow
07/04-17:08:02.753639, 9170978, TCP, raw, 52, C2S, 192.168.10.25:56980, 160.92.49.14:80, 301:1:1, allow
07/04-17:08:04.006901, 9171324, TCP, raw, 52, C2S, 192.168.10.25:56992, 160.92.178.66:80, 301:1:1, allow
07/04-17:08:05.361375, 9171664, TCP, raw, 52, C2S, 192.168.10.25:56998, 160.92.49.17:80, 301:1:1, allow
07/04-17:08:05.362372, 9171671, TCP, raw, 52, C2S, 192.168.10.25:56999, 160.92.49.17:80, 301:1:1, allow
07/04-17:08:05.365755, 9171680, TCP, raw, 52, C2S, 192.168.10.25:57000, 160.92.49.17:80, 301:1:1, allow
07/04-17:08:07.440254, 9172065, TCP, raw, 48, C2S, 192.168.10.14:54831, 66.235.121.175:443, 306:1:0, allow
07/04-17:08:08.630428, 9172922, TCP, raw, 1500, S2C, 160.92.49.14:80, 192.168.10.25:57023, 301:1:1, allow
07/04-17:08:12.148058, 9174027, TCP, raw, 52, C2S, 192.168.10.25:57044, 160.92.49.14:80, 301:1:1, allow
07/04-17:11:01.595198, 9204815, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:57106, 301:1:1, allow
07/04-17:14:53.029676, 9259371, TCP, raw, 258, C2S, 192.168.10.14:54856, 65.17.230.66:443, 301:1:1, allow
07/04-17:15:49.206244, 9277998, TCP, raw, 52, C2S, 192.168.10.25:57456, 23.65.225.139:80, 301:1:1, allow
07/04-17:16:30.637128, 9300790, TCP, raw, 52, S2C, 23.60.139.27:80, 192.168.10.25:57900, 301:1:1, allow
07/04-17:16:30.722929, 9300835, TCP, raw, 52, S2C, 23.60.139.27:80, 192.168.10.25:57904, 301:1:1, allow
07/04-17:17:45.564710, 9344153, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:58329, 301:1:1, allow
07/04-17:17:46.596356, 9345352, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:58341, 301:1:1, allow
07/04-17:17:47.345993, 9345958, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:58353, 301:1:1, allow
07/04-17:18:00.978338, 9351531, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:58430, 301:1:1, allow
07/04-17:19:13.828519, 9394879, TCP, raw, 136, C2S, 192.168.10.14:54995, 192.168.10.50:22, 301:1:1, allow
07/04-17:20:07.913576, 9412721, TCP, raw, 52, S2C, 172.217.12.194:80, 192.168.10.25:58744, 301:1:1, allow
07/04-17:20:13.347802, 9413752, TCP, raw, 52, C2S, 192.168.10.25:58751, 216.137.43.126:80, 301:1:1, allow
07/04-17:20:18.859166, 9415867, TCP, raw, 52, S2C, 172.217.6.193:80, 192.168.10.25:58782, 301:1:1, allow
07/04-17:20:18.860120, 9415872, TCP, raw, 52, S2C, 172.217.6.193:80, 192.168.10.25:58783, 301:1:1, allow
07/04-17:22:40.871567, 9448762, TCP, raw, 1500, S2C, 199.96.57.6:80, 192.168.10.17:36073, 301:1:1, allow
07/04-17:24:19.793396, 9504570, TCP, raw, 40, C2S, 192.168.10.15:56297, 23.194.140.15:80, 301:1:1, allow
07/04-17:24:59.729157, 9510962, TCP, raw, 456, C2S, 192.168.10.14:55019, 185.49.132.3:443, 301:1:1, allow
07/04-17:24:59.729191, 9510963, TCP, raw, 443, C2S, 192.168.10.14:55020, 185.49.132.3:443, 301:1:1, allow
07/04-17:25:29.220887, 9521642, TCP, raw, 1500, S2C, 23.194.140.203:80, 192.168.10.51:45586, 301:1:1, allow
07/04-17:25:29.244425, 9521704, TCP, raw, 1500, S2C, 23.194.140.203:80, 192.168.10.51:45587, 301:1:1, allow
07/04-17:25:32.095602, 9523885, TCP, raw, 1500, S2C, 23.194.140.203:80, 192.168.10.51:45619, 301:1:1, allow
07/04-17:25:33.550041, 9524563, TCP, raw, 1500, S2C, 104.88.14.9:80, 192.168.10.51:54478, 301:1:1, allow
07/04-17:25:36.244781, 9525652, TCP, raw, 1500, S2C, 104.88.14.9:80, 192.168.10.51:54505, 301:1:1, allow
07/04-17:25:38.868329, 9527276, TCP, raw, 1500, S2C, 54.192.37.182:80, 192.168.10.51:56699, 301:1:1, allow
07/04-17:26:09.890909, 9533456, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:59232, 301:1:1, allow
07/04-17:26:09.978282, 9533480, TCP, raw, 52, S2C, 23.50.75.27:80, 192.168.10.25:59233, 301:1:1, allow
07/04-17:27:14.426421, 9551975, TCP, raw, 40, C2S, 192.168.10.5:58025, 23.50.75.27:80, 301:1:1, allow
07/04-17:28:41.951401, 9583327, TCP, raw, 200, C2S, 192.168.10.51:41329, 162.213.33.50:443, 301:1:1, allow
